file,precision,registers,version,block,sort,kernel time,total time
3_RANDCONSTWIDTH,float,-,4,1024,h,1453653,1457241
3_RANDCONSTWIDTH,float,-,4,1024,H,1132300,1136871
3_RANDCONSTWIDTH,float,-,4,1024,w,1453578,1457209
3_RANDCONSTWIDTH,float,-,4,1024,W,1132284,1135894
3_RANDCONSTWIDTH,float,32,4,256,-,1940242,1943356
3_RANDCONSTWIDTH,float,32,4,256,h,1403365,1407052
3_RANDCONSTWIDTH,float,32,4,256,H,1411185,1414638
3_RANDCONSTWIDTH,float,32,4,256,w,1403631,1406915
3_RANDCONSTWIDTH,float,32,4,256,W,1409317,1412805
3_RANDCONSTWIDTH,float,32,4,512,-,2011219,2014258
3_RANDCONSTWIDTH,float,32,4,512,h,1417950,1421325
3_RANDCONSTWIDTH,float,32,4,512,H,1454458,1458315
3_RANDCONSTWIDTH,float,32,4,512,w,1418200,1421710
3_RANDCONSTWIDTH,float,32,4,512,W,1455066,1458532
3_RANDCONSTWIDTH,float,32,4,1024,-,2088803,2092003
3_RANDCONSTWIDTH,float,32,4,1024,h,1567843,1571376
3_RANDCONSTWIDTH,float,32,4,1024,H,1632784,1636877
3_RANDCONSTWIDTH,float,32,4,1024,w,1568092,1571535
3_RANDCONSTWIDTH,float,32,4,1024,W,1633175,1636988
3_RANDCONSTWIDTH,double,-,4,256,-,13161530,13166175
3_RANDCONSTWIDTH,double,-,4,256,h,6182961,6188315
3_RANDCONSTWIDTH,double,-,4,256,H,5569398,5574326
3_RANDCONSTWIDTH,double,-,4,256,w,6190744,6195851
3_RANDCONSTWIDTH,double,-,4,256,W,5562248,5567214
3_RANDCONSTWIDTH,double,-,4,512,-,13242464,13246769
3_RANDCONSTWIDTH,double,-,4,512,h,6545162,6550337
3_RANDCONSTWIDTH,double,-,4,512,H,5742402,5747373
3_RANDCONSTWIDTH,double,-,4,512,w,6544548,6549605
3_RANDCONSTWIDTH,double,-,4,512,W,5740567,5745533
3_RANDCONSTWIDTH,double,-,4,1024,-,13009986,13014575
3_RANDCONSTWIDTH,double,-,4,1024,h,8265275,8270166
3_RANDCONSTWIDTH,double,-,4,1024,H,6544536,6549841
3_RANDCONSTWIDTH,double,-,4,1024,w,8263691,8268695
3_RANDCONSTWIDTH,double,-,4,1024,W,6548002,6552826
3_RANDCONSTWIDTH,double,32,4,256,-,12506343,12510762
3_RANDCONSTWIDTH,double,32,4,256,h,6685595,6690798
3_RANDCONSTWIDTH,double,32,4,256,H,6689282,6694748
3_RANDCONSTWIDTH,double,32,4,256,w,6679032,6684352
3_RANDCONSTWIDTH,double,32,4,256,W,6686758,6692148
3_RANDCONSTWIDTH,double,32,4,512,-,13219890,13224109
3_RANDCONSTWIDTH,double,32,4,512,h,7152067,7156915
3_RANDCONSTWIDTH,double,32,4,512,H,7424555,7429543
